primaryTitle,startYear,averageRating,numVotes,genres
Americans at the Black Sea,2007,2.2,1553,Comedy
Stuck with You!,2015,2.2,1548,Comedy
Ancient Evil: Scream of the Mummy,2000,2.2,1441,Horror
Amoklauf,1994,2.2,1439,Horror
The Other Side of the Mirror,2016,2.2,1428,"Drama,Fantasy,History"
The Wrecking Crew,2000,2.2,1274,"Action,Crime,Drama"
Boogeyman II,1983,2.2,1271,Horror
Sinister Squad,2016,2.2,1229,"Action,Comedy,Fantasy"
Seed 2,2014,2.2,1141,Horror
Zapata - El sueño del héroe,2004,2.2,1087,"Biography,Drama,Fantasy"
The Da Vinci Treasure,2006,2.2,1087,"Action,Adventure,Mystery"
Ape vs. Monster,2021,2.2,1074,"Action,Adventure,Sci-Fi"
Lady Magdalene's,2008,2.2,1053,"Action,Comedy,Music"
Lovemakers,2011,2.2,1037,"Comedy,Romance"
The Mummy Rebirth,2019,2.2,1027,"Action,Fantasy,Horror"
Son of the Mask,2005,2.3,61084,"Comedy,Family,Fantasy"
