tconst,averageRating,numVotes
tt0019649,7.2,2452
tt0019655,7.4,1770
tt0019686,6.9,1663
tt0019688,7.6,3555
tt0019702,6.9,12917
tt0019729,5.5,8583
tt0019735,6.3,1404
tt0019745,5.9,1047
tt0019760,8.3,29264
tt0019777,6.8,8535
tt0019788,5.5,2397
tt0019811,6.7,1267
tt0019823,6.1,1486
tt0019824,6.1,1006
tt0019832,6.9,1366
tt0019901,7.2,4076
tt0019946,6.0,1074
tt0019959,6.7,2133
tt0019968,7.0,1550
tt0019976,7.2,1109
tt0019993,5.7,2422
tt0019999,7.0,1394
tt0020018,5.5,1414
tt0020030,7.0,1485
tt0020053,6.3,1031
tt0020062,6.8,1300
tt0020094,7.5,2002
tt0020112,7.0,2767
tt0020122,7.6,1629
tt0020142,6.2,3472
tt0020143,6.0,1298
tt0020161,7.2,1442
tt0020163,7.3,3746
tt0020223,6.6,1002
tt0020247,6.2,1003
tt0020264,7.1,1808
tt0020269,7.1,1953
tt0020286,6.5,1081
tt0020298,7.1,3430
tt0020321,7.2,2018
tt0020414,7.6,6982
tt0020442,6.9,2673
tt0020451,7.2,1800
tt0020475,7.8,5017
tt0020489,7.2,1296
tt0020514,6.4,1476
tt0020530,7.6,55486
tt0020531,7.0,1432
tt0020570,7.2,1165
tt0020607,7.0,1035
tt0020620,5.7,1806
tt0020629,8.1,70129
tt0020640,7.4,15708
tt0020641,6.5,3697
tt0020643,7.3,2742
tt0020668,6.3,1344
tt0020678,7.2,1985
tt0020686,7.1,2783
tt0020691,7.2,4836
tt0020697,7.6,17061
tt0020698,7.4,1907
tt0020708,7.3,2386
tt0020768,7.7,3929
tt0020793,7.5,1292
tt0020815,7.1,2152
tt0020827,6.7,3857
tt0020836,6.5,1428
tt0020876,6.7,1244
tt0020891,6.0,1432
tt0020902,5.5,1075
tt0020927,6.2,1279
tt0020960,7.3,6322
tt0020979,7.4,2317
tt0021015,4.6,2678
tt0021025,6.7,1767
tt0021040,6.7,1765
tt0021054,7.1,2140
tt0021079,7.2,15131
tt0021106,6.3,1370
tt0021128,5.7,1076
tt0021148,6.7,1970
tt0021153,6.6,1549
tt0021156,7.0,7948
tt0021165,6.3,7480
tt0021182,7.5,1865
tt0021189,5.8,1169
tt0021281,6.4,1168
tt0021309,7.6,1673
tt0021310,5.7,1104
tt0021331,7.2,7717
tt0021375,6.8,1125
tt0021406,6.9,1043
tt0021409,7.0,2583
tt0021505,6.7,1481
tt0021508,5.9,1447
tt0021542,7.3,2634
tt0021549,6.3,1259
tt0021571,7.2,6728
tt0021576,7.4,4811
tt0021577,7.2,15298
tt0021607,6.4,1023
tt0021622,6.2,2130
tt0021633,6.4,1320
tt0021635,6.4,1752
tt0021636,6.1,1603
tt0021644,6.7,1589
tt0021646,7.4,2031
tt0021664,7.3,1790
tt0021668,6.6,1782
tt0021673,7.1,2423
tt0021730,7.2,3827
tt0021738,7.3,1766
tt0021739,7.5,5124
tt0021746,5.8,7357
tt0021749,8.5,207568
tt0021750,7.0,2008
tt0021755,7.2,1448
tt0021770,6.9,1534
tt0021778,6.3,1356
tt0021800,7.2,3398
tt0021814,7.3,62217
tt0021815,7.0,5428
tt0021818,7.2,2645
tt0021873,7.3,2697
tt0021874,6.4,1497
tt0021884,7.8,83752
tt0021885,6.6,3099
tt0021890,6.7,3684
tt0021933,6.9,1089
tt0021985,7.7,1824
tt0021992,6.1,1248
tt0022000,6.1,1595
tt0022017,7.5,1916
tt0022054,6.9,1423
tt0022058,7.3,1941
tt0022074,7.1,4265
tt0022080,7.0,3085
tt0022100,8.3,177441
tt0022111,6.8,3476
tt0022119,6.1,1134
tt0022125,7.8,2733
tt0022147,6.3,1023
tt0022150,7.3,3966
tt0022153,7.2,2603
tt0022158,7.4,14655
tt0022183,7.5,4073
tt0022208,7.0,4860
tt0022227,7.1,1761
tt0022236,6.4,1445
tt0022238,7.3,1584
tt0022251,6.8,2990
tt0022254,6.1,1077
tt0022264,6.5,1426
tt0022268,6.7,3842
tt0022276,6.9,2439
tt0022279,6.7,1428
tt0022286,7.6,23964
tt0022335,6.9,2239
tt0022357,6.3,1183
tt0022386,6.6,1243
tt0022395,5.7,3812
tt0022397,6.3,1107
tt0022402,5.7,1250
tt0022403,6.8,2330
tt0022436,7.6,2281
tt0022453,6.3,1401
tt0022454,6.8,2726
tt0022458,7.4,6690
tt0022462,6.7,2603
tt0022469,6.5,1087
tt0022485,7.1,1645
tt0022489,6.5,1778
tt0022495,6.1,1244
tt0022515,7.0,1185
tt0022550,7.4,3345
tt0022599,7.4,5126
tt0022626,7.4,2473
tt0022628,6.3,1384
tt0022630,7.3,1454
tt0022639,6.9,1417
tt0022647,6.7,1505
tt0022651,7.0,1192
tt0022660,6.7,1572
tt0022685,6.5,1987
tt0022689,6.0,1697
tt0022694,6.8,1461
tt0022698,7.1,6065
tt0022700,6.4,1474
tt0022718,7.2,6486
tt0022725,7.5,1670
tt0022735,6.6,1964
tt0022737,7.0,1102
tt0022753,6.2,1244
tt0022759,6.8,1571
tt0022775,6.8,1275
tt0022782,7.3,2603
tt0022787,7.7,1823
tt0022792,6.2,1524
tt0022802,6.7,1397
tt0022807,6.7,1805
tt0022827,6.4,4553
tt0022834,7.0,1924
tt0022835,7.6,16860
tt0022854,7.0,1216
tt0022867,6.6,2952
tt0022877,7.8,2036
tt0022879,6.4,7257
tt0022883,6.6,1953
tt0022899,7.2,4127
tt0022905,6.8,2223
tt0022913,7.8,52883
tt0022958,7.3,21690
tt0022991,5.8,1517
tt0022994,7.7,2693
tt0023027,7.5,13802
tt0023028,6.5,1456
tt0023037,7.3,6498
tt0023042,8.2,15110
tt0023049,6.9,2450
tt0023074,7.2,2829
tt0023101,6.5,1221
tt0023125,6.5,1224
tt0023158,7.5,4898
tt0023181,6.8,1329
tt0023194,6.2,3968
tt0023196,6.6,4103
tt0023202,6.6,1507
tt0023213,6.9,2191
tt0023225,6.8,1507
tt0023227,7.3,1812
tt0023236,4.1,1149
tt0023238,7.1,14778
tt0023241,7.1,1753
tt0023245,7.0,31916
tt0023249,6.3,5720
tt0023251,7.9,8358
tt0023266,6.7,1304
tt0023277,6.6,1769
tt0023284,6.5,1016
tt0023285,5.7,5780
tt0023293,7.0,14056
tt0023303,7.0,3083
tt0023305,7.5,4693
tt0023312,7.2,2823
tt0023327,6.9,1564
tt0023349,6.1,1258
tt0023362,6.4,2009
tt0023369,6.9,3233
tt0023374,6.5,1289
tt0023382,7.2,5151
tt0023385,7.0,3817
tt0023394,6.2,1198
tt0023395,5.7,5166
tt0023422,7.1,3060
tt0023427,7.7,32011
tt0023439,7.3,1612
tt0023458,7.3,11248
tt0023464,6.3,1081
tt0023470,6.8,2878
tt0023486,7.2,1044
tt0023488,6.9,1694
tt0023491,6.8,1908
tt0023498,5.8,1230
tt0023551,6.9,8594
tt0023556,6.6,1663
tt0023563,7.9,14144
tt0023578,7.2,1687
tt0023582,6.2,2086
tt0023583,5.7,1003
tt0023584,6.6,1079
tt0023590,7.1,4621
tt0023594,6.3,1159
tt0023613,7.6,2581
tt0023622,7.9,16896
tt0023629,6.9,1353
tt0023634,7.8,6519
tt0023642,7.0,1225
tt0023649,7.4,21784
tt0023659,6.9,1089
tt0023686,7.0,2823
tt0023694,6.2,12236
tt0023731,6.8,3097
tt0023753,6.3,2840
tt0023775,7.5,8687
tt0023786,6.4,1138
tt0023794,6.5,1030
tt0023814,6.9,4613
tt0023825,7.1,3327
tt0023854,7.0,1414
tt0023856,6.5,1421
tt0023858,7.6,3157
tt0023871,7.7,1583
tt0023876,5.8,6336
tt0023891,6.3,1822
tt0023911,7.5,1596
tt0023926,6.8,2795
tt0023935,6.0,1593
tt0023937,7.2,1542
tt0023940,7.4,8231
tt0023943,7.1,2163
tt0023948,7.5,9472
tt0023950,7.4,2117
tt0023960,6.7,1363
tt0023969,7.7,64246
tt0023973,7.0,1475
tt0023985,6.4,1358
tt0023986,7.2,1727
tt0023993,6.3,1743
tt0024008,6.7,2014
tt0024025,6.6,4192
tt0024028,7.5,6388
tt0024034,7.3,13471
tt0024044,6.4,1535
tt0024055,5.8,3528
tt0024067,6.1,1982
tt0024069,7.7,9531
tt0024087,5.8,1491
tt0024115,7.3,2596
tt0024120,6.9,1204
tt0024127,5.5,1861
tt0024130,6.9,1986
tt0024166,6.9,4195
tt0024183,6.9,1515
tt0024184,7.6,42170
tt0024188,7.3,11730
tt0024210,6.8,4326
tt0024216,7.9,93787
tt0024238,6.6,2031
tt0024239,7.0,2052
tt0024240,7.4,4963
tt0024252,7.4,1607
tt0024262,7.0,1491
tt0024264,7.2,8272
tt0024285,7.6,1780
tt0024302,7.1,2088
tt0024314,6.9,1957
tt0024316,7.2,1622
tt0024334,7.0,1823
tt0024335,7.0,1524
tt0024353,6.4,3465
tt0024360,6.4,1920
tt0024368,6.8,7224
tt0024380,7.0,1032
tt0024381,6.2,1034
tt0024402,7.0,1180
tt0024426,6.4,1359
tt0024433,6.5,1592
tt0024435,6.8,1415
tt0024450,7.0,1863
tt0024451,6.7,1336
tt0024461,7.6,2027
tt0024471,6.7,1108
tt0024473,7.0,5156
tt0024475,6.3,1129
tt0024481,7.5,8995
tt0024500,5.4,1274
tt0024516,5.3,1483
tt0024538,6.4,1284
tt0024548,6.3,7394
tt0024554,5.3,1158
tt0024578,7.4,2359
tt0024593,5.6,5592
tt0024598,6.8,1025
tt0024601,7.5,10020
tt0024610,6.7,1241
tt0024617,7.1,2031
tt0024625,5.6,1295
tt0024631,6.2,1061
tt0024660,7.5,7153
tt0024675,5.9,1474
tt0024676,7.0,1112
tt0024684,6.7,1090
tt0024706,6.9,1572
tt0024721,6.9,1039
tt0024727,5.8,3247
tt0024747,5.7,1828
tt0024763,6.8,1209
tt0024772,7.5,2490
tt0024785,7.2,1328
tt0024792,6.5,1657
tt0024803,7.2,9719
tt0024805,5.0,1212
tt0024831,7.0,1521
tt0024844,7.7,18172
tt0024852,7.1,7919
tt0024854,6.4,1102
tt0024865,6.9,2290
tt0024873,6.3,1040
tt0024886,6.9,2488
tt0024890,6.2,1169
tt0024894,6.9,13743
tt0024902,5.3,1842
tt0024906,6.1,1324
tt0024914,7.2,2597
tt0024916,6.6,1216
tt0024958,6.9,1120
tt0024961,6.6,1429
tt0024963,6.3,1198
tt0024966,7.0,1526
tt0024968,6.9,2246
tt0024989,6.6,1257
tt0024991,6.8,4957
tt0025004,7.4,3555
tt0025028,7.0,2545
tt0025037,6.9,2535
tt0025091,6.9,1921
tt0025101,6.6,2102
tt0025129,6.5,1939
tt0025132,6.4,1646
tt0025161,6.5,1247
tt0025164,7.3,9059
tt0025173,6.6,1491
tt0025184,6.6,1533
tt0025185,7.6,1595
tt0025200,7.1,2090
tt0025211,7.0,1189
tt0025227,5.4,1307
tt0025228,7.1,1103
tt0025238,6.2,1274
tt0025251,6.9,1003
tt0025263,5.9,1169
tt0025272,6.5,1442
tt0025273,6.1,1162
tt0025301,7.5,5995
tt0025316,8.1,116954
tt0025318,7.1,5928
tt0025330,6.6,2102
tt0025335,6.2,2663
tt0025373,5.1,1200
tt0025397,6.8,1308
tt0025410,6.9,1499
tt0025413,7.3,1621
tt0025423,6.8,3804
tt0025440,5.5,1451
tt0025452,6.7,22524
tt0025455,5.1,1332
tt0025456,7.1,2410
tt0025461,6.6,1215
tt0025464,7.1,5048
tt0025465,3.7,2816
tt0025477,7.7,1672
tt0025480,6.1,1130
tt0025488,7.6,1556
tt0025493,7.2,3449
tt0025499,5.5,1346
tt0025509,8.3,2091
