tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt0069530,movie,Dead Planet,Z.P.G.,0.0,1972.0,,97.0,"Sci-Fi,Thriller",5.6,1669
tt0069536,movie,White Fang,Zanna Bianca,0.0,1973.0,,102.0,"Adventure,Family,Western",6.0,1007
tt0069671,movie,Abhimaan,Abhimaan,0.0,1973.0,,122.0,"Drama,Musical",7.8,3152
tt0069687,movie,Alice in the Cities,Alice in den Städten,0.0,1974.0,,113.0,Drama,7.8,14337
tt0069690,movie,Allonsanfan,Allonsanfàn,0.0,1974.0,,115.0,"Drama,History",7.0,1386
tt0069697,movie,"Watch Out, We're Mad",...altrimenti ci arrabbiamo!,0.0,1974.0,,102.0,"Action,Comedy",7.3,14798
tt0069704,movie,American Graffiti,American Graffiti,0.0,1973.0,,110.0,"Comedy,Drama",7.4,102574
tt0069713,movie,Even Angels Eat Beans,Anche gli angeli mangiano fagioli,0.0,1973.0,,111.0,"Action,Comedy,Crime",6.2,3517
tt0069715,movie,And Now the Screaming Starts!,And Now the Screaming Starts!,0.0,1973.0,,91.0,Horror,5.9,3357
tt0069718,movie,Anita,Anita,0.0,1973.0,,95.0,Drama,5.1,1871
tt0069729,movie,The Arena,The Arena,0.0,1974.0,,83.0,"Action,Adventure",5.2,2363
tt0069737,movie,Distant Thunder,Ashani Sanket,0.0,1973.0,,101.0,History,7.9,1801
tt0069738,movie,The Asphyx,The Asphyx,0.0,1972.0,,83.0,"Fantasy,Horror,Sci-Fi",6.2,3286
tt0069745,movie,Female Vampire,La comtesse noire,0.0,1973.0,,72.0,Horror,4.7,2224
tt0069747,movie,The Mad Adventures of Rabbi Jacob,Les aventures de Rabbi Jacob,0.0,1973.0,,95.0,"Adventure,Comedy",7.4,15590
tt0069753,movie,Baba Yaga,Baba Yaga,0.0,1973.0,,89.0,"Drama,Horror",5.7,2501
tt0069754,movie,The Baby,The Baby,0.0,1973.0,,84.0,"Drama,Horror,Thriller",6.1,4831
tt0069762,movie,Badlands,Badlands,0.0,1973.0,,94.0,"Action,Crime,Drama",7.7,81574
tt0069765,movie,Bang the Drum Slowly,Bang the Drum Slowly,0.0,1973.0,,96.0,"Drama,Sport",6.7,6555
tt0069768,movie,Battle for the Planet of the Apes,Battle for the Planet of the Apes,0.0,1973.0,,93.0,"Action,Sci-Fi",5.4,36729
tt0069786,movie,Billy Two Hats,Billy Two Hats,0.0,1974.0,,99.0,"Drama,Romance,Western",6.3,1939
tt0069792,movie,Black Caesar,Black Caesar,0.0,1973.0,,87.0,"Action,Crime,Drama",6.4,4174
tt0069795,movie,Blackenstein,Blackenstein,0.0,1973.0,,78.0,"Horror,Sci-Fi",3.5,1522
tt0069808,movie,Blume in Love,Blume in Love,0.0,1973.0,,115.0,"Comedy,Drama,Romance",6.2,1360
tt0069810,movie,Bobby,Bobby,0.0,1973.0,,168.0,"Comedy,Drama,Musical",6.9,2100
tt0069815,movie,Happy New Year,La bonne année,0.0,1973.0,,115.0,"Comedy,Crime,Drama",7.3,2123
tt0069818,movie,The Boss,Il boss,0.0,1973.0,,100.0,"Action,Crime,Thriller",6.9,2510
tt0069822,movie,Breezy,Breezy,0.0,1973.0,,106.0,"Drama,Romance",7.0,6175
tt0069823,movie,A Brief Vacation,Una breve vacanza,0.0,1973.0,,112.0,"Drama,Romance",7.5,1022
tt0069824,movie,"Brother Sun, Sister Moon","Fratello sole, sorella luna",0.0,1972.0,,121.0,"Biography,Drama,History",7.2,5166
tt0069833,movie,Chino,Valdez il mezzosangue,0.0,1973.0,,97.0,"Action,Adventure,Drama",6.0,3005
tt0069834,movie,Cahill U.S. Marshal,Cahill: United States Marshal,0.0,1973.0,,103.0,"Drama,Western",6.4,7581
tt0069838,movie,Bell from Hell,La campana del infierno,0.0,1973.0,,93.0,"Horror,Thriller",5.7,1623
tt0069840,movie,The Candy Snatchers,The Candy Snatchers,0.0,1973.0,,94.0,"Crime,Thriller",6.4,1863
tt0069841,movie,Cannibal Girls,Cannibal Girls,0.0,1973.0,,84.0,"Comedy,Horror",4.6,1565
